tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,42.0,0,0,0,0,0,0,0,1,0
1152,2020-03-02,1,42.0,0,0,0,0,0,0,0,1,0
1296,2020-03-03,2,39.5,0,0,0,0,0,0,0,2,0
1440,2020-03-04,2,39.5,0,0,0,0,0,0,0,2,0
1584,2020-03-05,3,45.6667,0,0,0,0,0,0,0,3,0
1728,2020-03-06,3,45.6667,0,0,0,0,0,0,0,3,0
1872,2020-03-07,3,45.6667,0,0,0,0,0,0,0,3,0
2016,2020-03-08,3,45.6667,0,0,0,0,0,0,0,3,0
2160,2020-03-09,5,57.6,0,0,0,0,1,0,0,4,0
2304,2020-03-10,6,53.3333,0,0,0,0,1,0,0,5,0
2448,2020-03-11,7,53.4286,0,0,0,0,0,2,0,5,0
2592,2020-03-12,12,53.0833,0,0,0,0,0,4,0,8,0
2736,2020-03-13,21,54.0,0,0,0,0,1,5,0,15,0
2880,2020-03-14,34,51.3824,0,0,0,0,6,8,0,20,0
3024,2020-03-15,42,50.9524,0,0,0,0,9,9,0,24,0
3168,2020-03-16,60,49.0667,0,0,0,0,12,13,0,35,0
3312,2020-03-17,93,49.0323,0,0,0,0,20,17,0,56,0
3456,2020-03-18,123,47.6748,0,0,0,0,18,27,0,78,0
3600,2020-03-19,156,47.3718,0,0,0,0,25,37,0,94,0
3744,2020-03-20,186,47.7742,0,0,0,0,20,49,0,117,0
3888,2020-03-21,229,49.2052,0,0,0,0,35,55,1,138,0
4032,2020-03-22,269,49.3048,0,0,0,0,36,66,2,165,0
