tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,0,N/A,0,0,0,0,0,0,0,0,0
1152,2020-03-02,1,46.0,0,0,0,0,0,0,0,1,0
1296,2020-03-03,2,64.5,0,0,0,0,0,1,0,1,0
1440,2020-03-04,2,64.5,0,0,0,0,0,1,0,1,0
1584,2020-03-05,3,55.6667,0,0,0,0,0,1,0,2,0
1728,2020-03-06,4,53.25,0,0,0,0,0,2,0,2,0
1872,2020-03-07,4,53.25,0,0,0,0,0,2,0,2,0
2016,2020-03-08,5,50.6,0,0,0,0,0,2,0,3,0
2160,2020-03-09,5,50.6,0,0,0,0,0,2,0,3,0
2304,2020-03-10,5,50.6,0,0,0,0,0,2,0,3,0
2448,2020-03-11,6,51.0,0,0,0,0,0,2,0,4,0
2592,2020-03-12,11,50.3636,0,0,0,0,0,2,0,9,0
2736,2020-03-13,18,47.1667,0,0,0,0,2,2,0,14,0
2880,2020-03-14,23,47.2609,0,0,0,0,3,2,0,18,0
3024,2020-03-15,28,45.6429,0,0,0,0,3,3,0,22,0
3168,2020-03-16,36,44.4167,0,0,0,0,3,4,0,29,0
3312,2020-03-17,44,44.0227,0,0,0,0,3,4,0,37,0
3456,2020-03-18,54,42.2593,0,0,0,0,3,6,0,45,0
3600,2020-03-19,65,43.3692,0,0,0,0,7,6,0,52,0
3744,2020-03-20,74,42.8919,0,0,0,0,5,8,0,61,0
3888,2020-03-21,94,44.4787,0,0,0,0,10,11,0,73,0
4032,2020-03-22,104,44.4423,0,0,0,0,11,15,0,78,0
