tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189448,483,0,4483,1987,2844,0,0,0,0,0,141,116,3208
1,02/23/2020T00:10:00 ,190877,483,0,4528,2070,1382,115,0,0,0,0,141,116,2998
2,02/23/2020T00:20:00 ,191501,483,0,4381,2000,1062,115,0,0,0,0,141,116,2911
3,02/23/2020T00:30:00 ,192172,483,0,4312,1633,736,213,0,0,0,0,141,116,2904
4,02/23/2020T00:40:00 ,192495,421,0,3987,1605,828,213,0,0,0,0,141,116,2904
5,02/23/2020T00:50:00 ,192965,421,0,3509,1459,849,480,0,0,0,0,141,116,2770
6,02/23/2020T01:00:00 ,194314,272,0,3058,882,1271,224,0,0,0,0,141,0,2548
7,02/23/2020T01:10:00 ,194449,306,0,3058,808,1285,224,0,0,0,0,141,0,2439
8,02/23/2020T01:20:00 ,194871,272,0,2841,894,1169,224,0,0,0,0,0,0,2439
9,02/23/2020T01:30:00 ,195232,272,0,2635,751,1157,224,0,0,0,0,0,0,2439
10,02/23/2020T01:40:00 ,195783,272,0,2635,751,746,224,0,0,0,0,0,0,2299
11,02/23/2020T01:50:00 ,196015,272,0,2635,751,622,116,0,0,0,0,0,0,2299
12,02/23/2020T02:00:00 ,196571,272,0,1967,835,252,579,0,0,0,0,0,0,2234
13,02/23/2020T02:10:00 ,196652,272,0,1841,911,115,579,106,0,0,0,0,0,2234
14,02/23/2020T02:20:00 ,196667,272,0,1841,911,183,496,106,0,0,0,0,0,2234
15,02/23/2020T02:30:00 ,196892,272,0,1564,557,648,480,106,0,0,0,0,0,2191
16,02/23/2020T02:40:00 ,196942,272,0,1564,507,754,480,0,0,0,0,0,0,2191
17,02/23/2020T02:50:00 ,196775,272,0,1462,507,1078,480,0,0,0,0,0,0,2136
18,02/23/2020T03:00:00 ,197364,340,0,1154,379,1193,100,0,0,0,0,0,0,2180
19,02/23/2020T03:10:00 ,197815,340,0,966,336,1117,0,0,0,0,0,0,0,2136
20,02/23/2020T03:20:00 ,197964,340,0,993,0,1044,233,0,0,0,0,0,0,2136
21,02/23/2020T03:30:00 ,198136,340,0,949,0,916,289,0,0,0,0,0,0,2080
22,02/23/2020T03:40:00 ,198404,340,0,904,0,604,334,0,0,0,0,0,0,2124
23,02/23/2020T03:50:00 ,198848,340,0,875,0,181,289,0,0,0,0,0,0,2177
24,02/23/2020T04:00:00 ,195516,512,0,820,54,70,44,0,0,0,0,0,0,5694
25,02/23/2020T04:10:00 ,195578,512,0,820,54,52,0,0,0,0,0,0,0,5694
26,02/23/2020T04:20:00 ,195486,512,0,820,107,177,0,0,0,0,0,0,0,5608
27,02/23/2020T04:30:00 ,195295,512,0,820,107,297,43,28,0,0,0,0,0,5608
28,02/23/2020T04:40:00 ,195134,512,0,820,133,432,71,0,0,0,0,0,0,5608
29,02/23/2020T04:50:00 ,194806,603,0,757,302,563,71,0,0,0,0,0,0,5608
30,02/23/2020T05:00:00 ,194527,770,0,757,179,770,145,0,0,0,0,0,0,5562
31,02/23/2020T05:10:00 ,194468,905,0,500,179,840,256,0,0,0,0,0,0,5562
32,02/23/2020T05:20:00 ,194282,964,0,500,258,860,256,28,0,0,0,0,0,5562
33,02/23/2020T05:30:00 ,193873,1063,0,319,240,1376,249,28,0,0,0,0,0,5562
34,02/23/2020T05:40:00 ,193801,1316,0,223,250,1392,138,28,0,0,0,0,0,5562
35,02/23/2020T05:50:00 ,193521,1500,0,175,316,1519,186,28,0,0,0,0,0,5465
36,02/23/2020T06:00:00 ,193405,2359,0,67,150,740,314,28,0,0,0,0,0,5647
37,02/23/2020T06:10:00 ,192956,2359,0,48,114,1195,391,0,0,0,0,0,0,5647
38,02/23/2020T06:20:00 ,192749,2551,0,48,256,1052,354,53,0,0,0,0,0,5647
39,02/23/2020T06:30:00 ,192417,2871,0,0,496,682,522,0,0,0,0,0,0,5722
40,02/23/2020T06:40:00 ,191989,3000,0,0,609,853,612,0,0,0,0,0,0,5647
41,02/23/2020T06:50:00 ,191731,3349,0,0,536,920,527,0,0,0,0,0,0,5647
42,02/23/2020T07:00:00 ,190455,4140,0,0,795,1314,359,0,0,0,0,0,0,5647
43,02/23/2020T07:10:00 ,190101,4321,0,0,807,1412,422,0,0,0,0,0,0,5647
44,02/23/2020T07:20:00 ,189639,4471,0,0,967,1375,558,53,0,0,0,0,0,5647
45,02/23/2020T07:30:00 ,187763,4585,0,0,1845,2238,707,28,0,0,0,0,0,5544
46,02/23/2020T07:40:00 ,186558,4771,0,0,2400,2423,865,58,0,0,0,0,0,5635
47,02/23/2020T07:50:00 ,185444,5086,477,0,2669,2352,741,176,0,0,0,0,0,5765
48,02/23/2020T08:00:00 ,184171,6057,604,0,2340,2372,717,685,110,0,0,0,0,5654
49,02/23/2020T08:10:00 ,183935,6608,659,34,1895,1949,660,1128,110,0,0,0,0,5732
50,02/23/2020T08:20:00 ,182724,6754,659,34,2332,2936,645,888,110,0,0,0,0,5628
51,02/23/2020T08:30:00 ,181148,6674,767,78,2068,3867,1339,1031,110,0,0,0,0,5628
52,02/23/2020T08:40:00 ,179264,7072,767,136,2969,4751,905,965,110,0,0,0,0,5771
53,02/23/2020T08:50:00 ,177422,7304,767,136,4363,4438,762,1145,517,0,85,0,0,5771
54,02/23/2020T09:00:00 ,172895,7811,767,158,6674,5697,843,1136,740,0,149,0,37,5803
55,02/23/2020T09:10:00 ,171656,7894,823,158,6211,6237,846,2265,740,0,191,0,37,5652
56,02/23/2020T09:20:00 ,169480,8024,823,189,7387,7088,952,1773,740,237,253,0,37,5727
57,02/23/2020T09:30:00 ,166580,8134,823,302,8714,7706,933,2286,333,476,426,0,37,5960
58,02/23/2020T09:40:00 ,163690,8463,767,372,10212,7285,1529,3227,333,476,426,0,91,5839
59,02/23/2020T09:50:00 ,161768,8593,767,317,11264,7119,2188,3279,192,1175,586,0,91,5371
60,02/23/2020T10:00:00 ,154492,8962,944,588,14279,9414,2596,4106,151,1299,824,0,91,4964
61,02/23/2020T10:10:00 ,153919,9016,1007,714,14608,7836,1950,5492,151,1828,879,0,91,5219
