tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,1,53.0,0,0,0,0,1,0,0,0,0
1008,2020-03-01,2,74.0,0,0,0,0,2,0,0,0,0
1152,2020-03-02,3,65.0,0,0,0,0,1,1,0,1,0
1296,2020-03-03,3,65.0,0,0,0,0,1,1,0,1,0
1440,2020-03-04,4,64.0,0,0,0,0,2,1,0,1,0
1584,2020-03-05,4,64.0,0,0,0,0,2,1,0,1,0
1728,2020-03-06,5,65.2,0,0,0,0,1,2,0,2,0
1872,2020-03-07,6,61.8333,0,0,0,0,2,2,0,2,0
2016,2020-03-08,7,66.2857,0,0,0,0,2,2,0,3,0
2160,2020-03-09,7,66.2857,0,0,0,0,1,2,0,3,1
2304,2020-03-10,9,62.2222,0,0,0,0,2,2,0,4,1
2448,2020-03-11,11,60.0,0,0,0,0,2,3,0,5,1
2592,2020-03-12,16,56.3125,0,0,0,0,3,5,0,7,1
2736,2020-03-13,27,54.5556,0,0,0,0,4,7,0,15,1
2880,2020-03-14,34,51.5882,0,0,0,0,6,7,0,20,1
3024,2020-03-15,42,49.1429,0,0,0,0,7,8,0,27,0
3168,2020-03-16,57,48.4912,0,0,0,0,10,10,0,37,0
3312,2020-03-17,87,48.3333,0,0,0,0,17,20,0,49,1
3456,2020-03-18,131,47.1679,0,0,0,0,26,29,0,75,1
3600,2020-03-19,183,46.1803,0,0,0,0,29,36,0,117,1
3744,2020-03-20,239,46.4561,0,0,0,0,29,52,0,157,1
3888,2020-03-21,282,46.2624,0,0,0,0,25,63,0,192,2
4032,2020-03-22,341,45.8182,0,0,0,0,30,76,1,233,1
