tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,80.0,0,0,0,0,1,0,0,0,0
1152,2020-03-02,2,66.5,0,0,0,0,1,0,0,1,0
1296,2020-03-03,3,60.0,0,0,0,0,1,1,0,1,0
1440,2020-03-04,4,53.75,0,0,0,0,1,1,0,2,0
1584,2020-03-05,5,47.8,0,0,0,0,2,1,0,2,0
1728,2020-03-06,6,42.5,0,0,0,0,0,2,0,4,0
1872,2020-03-07,6,42.5,0,0,0,0,0,2,0,4,0
2016,2020-03-08,6,42.5,0,0,0,0,0,2,0,4,0
2160,2020-03-09,7,42.0,0,0,0,0,0,2,0,5,0
2304,2020-03-10,9,42.5556,0,0,0,0,0,2,0,7,0
2448,2020-03-11,11,45.4545,0,0,0,0,1,2,0,8,0
2592,2020-03-12,16,49.25,0,0,0,0,4,4,0,8,0
2736,2020-03-13,24,50.1667,0,0,0,0,4,6,0,14,0
2880,2020-03-14,30,48.3,0,0,0,0,6,8,0,16,0
3024,2020-03-15,39,46.6154,0,0,0,0,6,11,0,22,0
3168,2020-03-16,53,46.3019,0,0,0,0,7,14,0,32,0
3312,2020-03-17,72,46.5833,0,0,0,0,10,15,0,47,0
3456,2020-03-18,83,45.9277,0,0,0,0,9,16,0,58,0
3600,2020-03-19,99,46.9192,0,0,0,0,14,20,0,65,0
3744,2020-03-20,116,46.8276,0,0,0,0,12,22,1,81,0
3888,2020-03-21,129,46.6822,0,0,0,0,9,25,1,94,0
4032,2020-03-22,146,46.089,0,0,0,0,9,28,2,107,0
