tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,4.0,0,0,0,0,0,0,0,1,0
1152,2020-03-02,2,29.5,0,0,0,0,0,1,0,1,0
1296,2020-03-03,3,44.6667,0,0,0,0,1,1,0,1,0
1440,2020-03-04,4,45.5,0,0,0,0,1,1,0,2,0
1584,2020-03-05,4,45.5,0,0,0,0,1,1,0,2,0
1728,2020-03-06,4,45.5,0,0,0,0,0,2,0,2,0
1872,2020-03-07,4,45.5,0,0,0,0,0,2,0,2,0
2016,2020-03-08,6,38.6667,0,0,0,0,0,2,0,4,0
2160,2020-03-09,7,39.7143,0,0,0,0,0,2,0,5,0
2304,2020-03-10,8,36.375,0,0,0,0,0,2,0,6,0
2448,2020-03-11,10,36.6,0,0,0,0,0,3,0,7,0
2592,2020-03-12,11,36.0,0,0,0,0,0,3,0,8,0
2736,2020-03-13,13,41.6923,0,0,0,0,1,4,0,8,0
2880,2020-03-14,14,43.0,0,0,0,0,1,4,0,9,0
3024,2020-03-15,16,46.625,0,0,0,0,2,3,1,10,0
3168,2020-03-16,19,44.0,0,0,0,0,4,2,1,12,0
3312,2020-03-17,22,42.0909,0,0,0,0,4,3,1,14,0
3456,2020-03-18,23,42.087,0,0,0,0,4,5,0,14,0
3600,2020-03-19,27,42.4444,0,0,0,0,3,6,0,18,0
3744,2020-03-20,35,43.1143,0,0,0,0,2,8,0,24,1
3888,2020-03-21,42,42.2857,0,0,0,0,3,7,0,31,1
4032,2020-03-22,48,43.125,0,0,0,0,5,8,0,34,1
