tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,67.0,0,0,0,0,1,0,0,0,0
1152,2020-03-02,1,67.0,0,0,0,0,1,0,0,0,0
1296,2020-03-03,2,49.5,0,0,0,0,1,0,0,1,0
1440,2020-03-04,2,49.5,0,0,0,0,0,1,0,1,0
1584,2020-03-05,2,49.5,0,0,0,0,0,1,0,1,0
1728,2020-03-06,2,49.5,0,0,0,0,0,1,0,1,0
1872,2020-03-07,2,49.5,0,0,0,0,0,1,0,1,0
2016,2020-03-08,2,49.5,0,0,0,0,0,1,0,1,0
2160,2020-03-09,3,55.6667,0,0,0,0,0,1,0,2,0
2304,2020-03-10,4,50.5,0,0,0,0,0,1,0,3,0
2448,2020-03-11,4,50.5,0,0,0,0,0,1,0,3,0
2592,2020-03-12,5,46.0,0,0,0,0,0,1,0,4,0
2736,2020-03-13,11,49.2727,0,0,0,0,3,2,0,6,0
2880,2020-03-14,22,46.2273,0,0,0,0,5,4,0,13,0
3024,2020-03-15,32,46.1562,0,0,0,0,6,7,0,19,0
3168,2020-03-16,42,46.5476,0,0,0,0,6,12,0,24,0
3312,2020-03-17,46,46.0435,0,0,0,0,4,15,0,27,0
3456,2020-03-18,58,45.5862,0,0,0,0,6,17,1,34,0
3600,2020-03-19,70,45.6571,0,0,0,0,10,19,1,40,0
3744,2020-03-20,81,45.716,0,0,0,0,9,24,1,47,0
3888,2020-03-21,94,45.4787,0,0,0,0,9,29,2,54,0
4032,2020-03-22,123,45.9187,0,0,0,0,21,33,2,67,0
