tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,74.0,0,0,0,0,1,0,0,0,0
1152,2020-03-02,1,74.0,0,0,0,0,1,0,0,0,0
1296,2020-03-03,2,69.0,0,0,0,0,1,0,0,1,0
1440,2020-03-04,3,63.0,0,0,0,0,1,1,0,1,0
1584,2020-03-05,3,63.0,0,0,0,0,0,1,0,2,0
1728,2020-03-06,3,63.0,0,0,0,0,0,1,0,2,0
1872,2020-03-07,3,63.0,0,0,0,0,0,1,0,2,0
2016,2020-03-08,3,63.0,0,0,0,0,0,1,0,2,0
2160,2020-03-09,4,55.0,0,0,0,0,0,1,0,3,0
2304,2020-03-10,4,55.0,0,0,0,0,0,1,0,3,0
2448,2020-03-11,4,55.0,0,0,0,0,0,1,0,3,0
2592,2020-03-12,4,55.0,0,0,0,0,0,1,0,3,0
2736,2020-03-13,5,49.8,0,0,0,0,0,1,0,4,0
2880,2020-03-14,5,49.8,0,0,0,0,0,1,0,4,0
3024,2020-03-15,4,43.75,0,0,0,0,0,0,0,4,0
3168,2020-03-16,5,46.8,0,0,0,0,1,0,0,4,0
3312,2020-03-17,5,45.6,0,0,0,0,2,0,0,3,0
3456,2020-03-18,4,44.25,0,0,0,0,2,0,0,2,0
3600,2020-03-19,6,45.0,0,0,0,0,0,2,0,4,0
3744,2020-03-20,8,46.375,0,0,0,0,2,2,0,4,0
3888,2020-03-21,9,45.1111,0,0,0,0,1,2,0,6,0
4032,2020-03-22,11,44.6364,0,0,0,0,2,2,0,7,0
