tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,74.0,0,0,0,0,1,0,0,0,0
1152,2020-03-02,1,74.0,0,0,0,0,1,0,0,0,0
1296,2020-03-03,2,69.0,0,0,0,0,1,0,0,1,0
1440,2020-03-04,2,69.0,0,0,0,0,0,1,0,1,0
1584,2020-03-05,3,68.3333,0,0,0,0,1,1,0,1,0
1728,2020-03-06,3,68.3333,0,0,0,0,0,2,0,1,0
1872,2020-03-07,3,68.3333,0,0,0,0,0,2,0,1,0
2016,2020-03-08,5,60.0,0,0,0,0,1,2,0,2,0
2160,2020-03-09,6,55.1667,0,0,0,0,1,3,0,2,0
2304,2020-03-10,9,55.3333,0,0,0,0,1,3,0,5,0
2448,2020-03-11,10,52.8,0,0,0,0,0,4,0,6,0
2592,2020-03-12,11,52.6364,0,0,0,0,0,4,0,7,0
2736,2020-03-13,15,50.2,0,0,0,0,0,4,0,11,0
2880,2020-03-14,22,49.6364,0,0,0,0,4,4,0,14,0
3024,2020-03-15,27,51.037,0,0,0,0,4,6,0,17,0
3168,2020-03-16,38,50.3421,0,0,0,0,6,8,0,24,0
3312,2020-03-17,51,48.0196,0,0,0,0,6,9,0,36,0
3456,2020-03-18,62,47.2903,0,0,0,0,4,13,0,45,0
3600,2020-03-19,70,46.3,0,0,0,0,3,13,0,54,0
3744,2020-03-20,78,46.8718,0,0,0,0,5,14,1,58,0
3888,2020-03-21,94,47.7553,0,0,0,0,8,16,1,69,0
4032,2020-03-22,101,47.9703,0,0,0,0,3,22,2,74,0
