tick,iso8601,House,Work,School,Restaurant,Outdoor,Car,Public Transport,Shop,Medical,Place of Worship,Indoor Sport,Cinema or Theatre,Museum or Zoo,Visit
0,02/23/2020T00:00:00 ,189362,492,0,4433,2044,2969,0,0,0,0,0,124,117,3169
1,02/23/2020T00:10:00 ,190840,492,0,4494,2094,1477,113,0,0,0,0,124,117,2959
2,02/23/2020T00:20:00 ,191520,492,0,4339,2018,1101,113,0,0,0,0,124,117,2886
3,02/23/2020T00:30:00 ,192179,492,0,4213,1693,805,218,0,0,0,0,124,117,2869
4,02/23/2020T00:40:00 ,192534,434,0,3890,1716,808,218,0,0,0,0,124,117,2869
5,02/23/2020T00:50:00 ,193018,434,0,3459,1548,789,482,0,0,0,0,124,117,2739
6,02/23/2020T01:00:00 ,194327,280,0,2988,951,1311,230,0,0,0,0,124,0,2499
7,02/23/2020T01:10:00 ,194459,335,0,2988,851,1315,230,0,0,0,0,124,0,2408
8,02/23/2020T01:20:00 ,194910,280,0,2762,952,1168,230,0,0,0,0,0,0,2408
9,02/23/2020T01:30:00 ,195276,280,0,2559,797,1160,230,0,0,0,0,0,0,2408
10,02/23/2020T01:40:00 ,195795,280,0,2559,797,775,230,0,0,0,0,0,0,2274
11,02/23/2020T01:50:00 ,196034,280,0,2559,797,649,117,0,0,0,0,0,0,2274
12,02/23/2020T02:00:00 ,196620,280,0,1859,888,260,592,0,0,0,0,0,0,2211
13,02/23/2020T02:10:00 ,196712,280,0,1709,976,125,592,105,0,0,0,0,0,2211
14,02/23/2020T02:20:00 ,196713,280,0,1709,976,209,507,105,0,0,0,0,0,2211
15,02/23/2020T02:30:00 ,196955,280,0,1499,594,650,463,105,0,0,0,0,0,2164
16,02/23/2020T02:40:00 ,197017,280,0,1499,532,755,463,0,0,0,0,0,0,2164
17,02/23/2020T02:50:00 ,196877,280,0,1418,532,1025,463,0,0,0,0,0,0,2115
18,02/23/2020T03:00:00 ,197481,364,0,1127,403,1104,73,0,0,0,0,0,0,2158
19,02/23/2020T03:10:00 ,197839,364,0,980,317,1095,0,0,0,0,0,0,0,2115
20,02/23/2020T03:20:00 ,198000,364,0,989,0,1004,238,0,0,0,0,0,0,2115
21,02/23/2020T03:30:00 ,198175,364,0,946,0,872,292,0,0,0,0,0,0,2061
22,02/23/2020T03:40:00 ,198394,364,0,907,0,610,331,0,0,0,0,0,0,2104
23,02/23/2020T03:50:00 ,198844,364,0,874,0,162,292,0,0,0,0,0,0,2174
24,02/23/2020T04:00:00 ,195534,542,0,832,41,59,33,0,0,0,0,0,0,5669
25,02/23/2020T04:10:00 ,195550,542,0,832,41,76,0,0,0,0,0,0,0,5669
26,02/23/2020T04:20:00 ,195469,542,0,832,94,200,0,0,0,0,0,0,0,5573
27,02/23/2020T04:30:00 ,195310,542,0,832,94,306,26,27,0,0,0,0,0,5573
28,02/23/2020T04:40:00 ,195161,542,0,832,132,417,53,0,0,0,0,0,0,5573
29,02/23/2020T04:50:00 ,194839,646,0,768,296,535,53,0,0,0,0,0,0,5573
30,02/23/2020T05:00:00 ,194584,827,0,768,160,722,109,0,0,0,0,0,0,5540
31,02/23/2020T05:10:00 ,194523,953,0,517,160,789,228,0,0,0,0,0,0,5540
32,02/23/2020T05:20:00 ,194313,1006,0,517,238,841,228,27,0,0,0,0,0,5540
33,02/23/2020T05:30:00 ,193885,1098,0,313,231,1373,243,27,0,0,0,0,0,5540
34,02/23/2020T05:40:00 ,193796,1355,0,215,250,1403,124,27,0,0,0,0,0,5540
35,02/23/2020T05:50:00 ,193512,1527,0,167,322,1547,172,27,0,0,0,0,0,5436
