tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,1,78.0,0,0,0,0,1,0,0,0,0
1008,2020-03-01,1,78.0,0,0,0,0,0,1,0,0,0
1152,2020-03-02,2,72.0,0,0,0,0,0,1,0,1,0
1296,2020-03-03,2,72.0,0,0,0,0,0,1,0,1,0
1440,2020-03-04,2,72.0,0,0,0,0,0,1,0,1,0
1584,2020-03-05,3,51.0,0,0,0,0,1,1,0,1,0
1728,2020-03-06,3,51.0,0,0,0,0,0,1,0,2,0
1872,2020-03-07,4,38.25,0,0,0,0,0,1,0,3,0
2016,2020-03-08,4,38.25,0,0,0,0,0,1,0,3,0
2160,2020-03-09,5,35.6,0,0,0,0,0,1,0,4,0
2304,2020-03-10,5,35.6,0,0,0,0,0,1,0,4,0
2448,2020-03-11,8,32.75,0,0,0,0,0,1,0,7,0
2592,2020-03-12,11,36.7273,0,0,0,0,3,1,0,7,0
2736,2020-03-13,20,37.3,0,0,0,0,5,1,0,14,0
2880,2020-03-14,32,38.5625,0,0,0,0,5,6,0,21,0
3024,2020-03-15,41,38.3171,0,0,0,0,3,8,0,30,0
3168,2020-03-16,59,40.0847,0,0,0,0,5,12,1,41,0
3312,2020-03-17,74,40.7432,0,0,0,0,9,11,2,52,0
3456,2020-03-18,95,42.6947,0,0,0,0,14,18,2,61,0
3600,2020-03-19,120,44.0417,0,0,0,0,20,19,3,78,0
3744,2020-03-20,136,43.5662,0,0,0,0,14,25,3,94,0
3888,2020-03-21,154,44.6429,0,0,0,0,16,36,2,100,0
4032,2020-03-22,178,45.2753,0,0,0,0,19,43,3,113,0
