tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,1,51.0,0,0,0,0,0,0,0,1,0
1008,2020-03-01,2,60.0,0,0,0,0,0,1,0,1,0
1152,2020-03-02,3,40.0,0,0,0,0,0,1,0,2,0
1296,2020-03-03,4,44.75,0,0,0,0,0,1,0,3,0
1440,2020-03-04,4,44.75,0,0,0,0,0,1,0,3,0
1584,2020-03-05,5,40.8,0,0,0,0,0,1,0,4,0
1728,2020-03-06,5,40.8,0,0,0,0,0,1,0,4,0
1872,2020-03-07,7,37.5714,0,0,0,0,1,1,0,5,0
2016,2020-03-08,8,42.25,0,0,0,0,1,2,0,5,0
2160,2020-03-09,9,47.1111,0,0,0,0,2,2,0,5,0
2304,2020-03-10,9,47.1111,0,0,0,0,2,2,0,5,0
2448,2020-03-11,12,45.8333,0,0,0,0,2,3,0,7,0
2592,2020-03-12,18,44.7222,0,0,0,0,3,3,0,12,0
2736,2020-03-13,27,46.4074,0,0,0,0,6,5,0,16,0
2880,2020-03-14,40,45.55,0,0,0,0,7,7,0,26,0
3024,2020-03-15,51,44.6863,0,0,0,0,6,12,0,33,0
3168,2020-03-16,66,46.1515,0,0,0,0,8,16,0,42,0
3312,2020-03-17,89,44.0562,0,0,0,0,12,17,1,59,0
3456,2020-03-18,125,44.76,0,0,0,0,22,22,2,79,0
3600,2020-03-19,156,44.3718,0,0,0,0,20,34,2,100,0
3744,2020-03-20,187,44.4225,0,0,0,0,20,41,3,123,0
3888,2020-03-21,228,45.6447,0,0,0,0,27,51,4,146,0
4032,2020-03-22,280,46.0643,0,0,0,0,29,63,4,183,1
