tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,1,23.0,0,0,0,0,0,0,0,1,0
1152,2020-03-02,2,45.0,0,0,0,0,0,0,0,2,0
1296,2020-03-03,2,45.0,0,0,0,0,0,0,0,2,0
1440,2020-03-04,2,45.0,0,0,0,0,0,0,0,2,0
1584,2020-03-05,2,45.0,0,0,0,0,0,0,0,2,0
1728,2020-03-06,3,32.3333,0,0,0,0,1,0,0,2,0
1872,2020-03-07,5,51.6,0,0,0,0,1,1,0,3,0
2016,2020-03-08,7,47.8571,0,0,0,0,1,1,0,5,0
2160,2020-03-09,7,47.8571,0,0,0,0,1,1,0,5,0
2304,2020-03-10,9,49.4444,0,0,0,0,3,1,0,5,0
2448,2020-03-11,11,49.0909,0,0,0,0,1,3,0,7,0
2592,2020-03-12,17,47.3529,0,0,0,0,3,3,0,11,0
2736,2020-03-13,23,52.0,0,0,0,0,7,4,0,11,1
2880,2020-03-14,37,51.5946,0,0,0,0,12,6,0,18,1
3024,2020-03-15,52,51.25,0,0,0,0,16,7,1,27,1
3168,2020-03-16,71,49.2535,0,0,0,0,15,13,1,41,1
3312,2020-03-17,89,47.8202,0,0,0,0,17,21,1,49,1
3456,2020-03-18,108,47.5463,0,0,0,0,11,30,1,64,2
3600,2020-03-19,128,46.9688,0,0,0,0,9,36,1,80,2
3744,2020-03-20,152,47.5855,0,0,0,0,11,40,2,96,3
3888,2020-03-21,177,46.9322,0,0,0,0,16,43,2,113,3
4032,2020-03-22,197,46.335,0,0,0,0,18,47,2,127,3
