tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,0,N/A,0,0,0,0,0,0,0,0,0
1152,2020-03-02,1,77.0,0,0,0,0,1,0,0,0,0
1296,2020-03-03,2,67.0,0,0,0,0,1,0,0,1,0
1440,2020-03-04,2,67.0,0,0,0,0,1,0,0,1,0
1584,2020-03-05,2,67.0,0,0,0,0,0,1,0,1,0
1728,2020-03-06,3,52.3333,0,0,0,0,0,1,0,2,0
1872,2020-03-07,4,49.0,0,0,0,0,0,2,0,2,0
2016,2020-03-08,5,46.4,0,0,0,0,0,2,1,2,0
2160,2020-03-09,5,46.4,0,0,0,0,0,2,1,2,0
2304,2020-03-10,6,44.5,0,0,0,0,0,2,1,3,0
2448,2020-03-11,9,49.7778,0,0,0,0,0,2,1,6,0
2592,2020-03-12,15,58.8667,0,0,0,0,5,2,1,7,0
2736,2020-03-13,21,54.7619,0,0,0,0,6,4,1,10,0
2880,2020-03-14,33,48.5455,0,0,0,0,8,5,1,19,0
3024,2020-03-15,49,50.6122,0,0,0,0,9,11,1,28,0
3168,2020-03-16,64,49.0938,0,0,0,0,12,14,0,38,0
3312,2020-03-17,88,48.9773,0,0,0,0,17,20,0,50,1
3456,2020-03-18,109,49.2936,0,0,0,0,15,23,0,69,2
3600,2020-03-19,130,49.1,0,0,0,0,11,30,1,86,2
3744,2020-03-20,158,48.6646,0,0,0,0,18,32,2,104,2
3888,2020-03-21,177,48.565,0,0,0,0,19,38,2,116,2
4032,2020-03-22,204,47.9755,0,0,0,0,19,48,3,131,3
