0: [0.942,0.053943205,0,0.002028398,0,0.002028398,0]
5: [0.942,0.0557913,0,0.0022087,0,0,0]
10: [0.958,0.042,0,0,0,0,0]
15: [0.958,0.041158209,0,0.000420896,0,0.000420896,0]
20: [0.946,0.051167238,0,0.002832762,0,0,0]
25: [0.946,0.05262569,0,0.00137431,0,0,0]
30: [0.934,0.062128584,0,0.003594886,0,0.00027653,0]
35: [0.934,0.061881489,0,0.003801703,0,0.000316809,0]
40: [0.92,0.071004481,0,0.006836594,0,0.002158924,0]
45: [0.92,0.069070138,0,0.009056172,0,0.001873691,0]
50: [0.902,0.085081743,0,0.011398462,0,0.001519795,0]
55: [0.902,0.074208877,0,0.021925152,0,0.00186597,0]
60: [0.874,0.090013428,0,0.028789257,0,0.005997762,0.001199552]
65: [0.874,0.075114529,0.002750566,0.037132641,0,0.006287008,0.004715256]
70: [0.862,0.036650063,0,0.073214609,0.006275538,0.010929895,0.010929895]
75: [0.862,0.024032199,0.008547585,0.078133694,0.010191351,0.01709517,0]
80: [0.862,0.00136527,0.023648319,0.071163922,0.031312126,0.003503455,0.007006909]
85: [0.862,0.01610145,0.029255652,0.057630925,0.032574001,0,0.002437971]
90: [0.862,0.012046998,0.04369798,0.04626845,0.035986572,0,0]

