tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,1,62.0,0,0,0,0,1,0,0,0,0
1008,2020-03-01,2,67.5,0,0,0,0,1,1,0,0,0
1152,2020-03-02,3,61.6667,0,0,0,0,0,2,0,1,0
1296,2020-03-03,3,61.6667,0,0,0,0,0,2,0,1,0
1440,2020-03-04,4,63.75,0,0,0,0,1,2,0,1,0
1584,2020-03-05,4,63.75,0,0,0,0,0,3,0,1,0
1728,2020-03-06,5,62.0,0,0,0,0,0,2,1,2,0
1872,2020-03-07,7,56.2857,0,0,0,0,1,2,1,3,0
2016,2020-03-08,9,60.8889,0,0,0,0,2,3,1,3,0
2160,2020-03-09,11,60.4545,0,0,0,0,2,3,1,5,0
2304,2020-03-10,14,61.5,0,0,0,0,1,5,1,7,0
2448,2020-03-11,17,61.4706,0,0,0,0,1,6,1,9,0
2592,2020-03-12,23,60.4348,0,0,0,0,3,7,1,12,0
2736,2020-03-13,26,57.2308,0,0,0,0,3,7,1,15,0
2880,2020-03-14,32,54.875,0,0,0,0,5,7,1,19,0
3024,2020-03-15,44,52.5227,0,0,0,0,11,9,0,24,0
3168,2020-03-16,55,51.6,0,0,0,0,8,11,0,36,0
3312,2020-03-17,69,52.1159,0,0,0,0,7,14,0,47,1
3456,2020-03-18,79,52.4177,0,0,0,0,9,16,0,53,1
3600,2020-03-19,90,51.6667,0,0,0,0,12,19,0,58,1
3744,2020-03-20,100,51.21,0,0,0,0,13,21,0,64,2
3888,2020-03-21,118,50.4746,0,0,0,0,14,26,0,75,3
4032,2020-03-22,133,49.4812,0,0,0,0,15,28,1,85,4
