tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,0,N/A,0,0,0,0,0,0,0,0,0
1008,2020-03-01,0,N/A,0,0,0,0,0,0,0,0,0
1152,2020-03-02,1,46.0,0,0,0,0,0,0,0,1,0
1296,2020-03-03,2,64.5,0,0,0,0,0,1,0,1,0
1440,2020-03-04,2,64.5,0,0,0,0,0,1,0,1,0
1584,2020-03-05,2,64.5,0,0,0,0,0,1,0,1,0
1728,2020-03-06,3,55.6667,0,0,0,0,0,1,0,2,0
1872,2020-03-07,4,52.75,0,0,0,0,0,1,0,3,0
2016,2020-03-08,6,52.5,0,0,0,0,0,2,0,4,0
2160,2020-03-09,7,49.7143,0,0,0,0,0,2,0,5,0
2304,2020-03-10,9,47.1111,0,0,0,0,0,2,0,7,0
2448,2020-03-11,12,47.9167,0,0,0,0,0,2,0,10,0
2592,2020-03-12,17,49.4706,0,0,0,0,1,2,0,14,0
2736,2020-03-13,29,47.4828,0,0,0,0,5,4,0,20,0
2880,2020-03-14,37,45.8919,0,0,0,0,4,5,0,28,0
3024,2020-03-15,47,46.1489,0,0,0,0,6,8,0,33,0
3168,2020-03-16,63,46.7302,0,0,0,0,8,11,0,44,0
3312,2020-03-17,89,45.1798,0,0,0,0,7,15,0,67,0
3456,2020-03-18,126,44.8095,0,0,0,0,13,20,0,93,0
3600,2020-03-19,162,44.142,0,0,0,0,15,28,0,119,0
3744,2020-03-20,199,44.5628,0,0,0,0,17,36,0,146,0
3888,2020-03-21,245,44.0694,0,0,0,0,22,43,1,179,0
4032,2020-03-22,288,44.0868,0,0,0,0,23,55,3,207,0
