tick,date,agents in quarantine,average age,SUSCEPTIBLE,EXPOSED,ASYMPTOMATIC,PREINFECTED,INFECTED,HOSPITALIZING,VENTILATING,RECOVERED,DEAD
144,2020-02-24,0,N/A,0,0,0,0,0,0,0,0,0
288,2020-02-25,0,N/A,0,0,0,0,0,0,0,0,0
432,2020-02-26,0,N/A,0,0,0,0,0,0,0,0,0
576,2020-02-27,0,N/A,0,0,0,0,0,0,0,0,0
720,2020-02-28,0,N/A,0,0,0,0,0,0,0,0,0
864,2020-02-29,1,62.0,0,0,0,0,1,0,0,0,0
1008,2020-03-01,2,67.5,0,0,0,0,1,1,0,0,0
1152,2020-03-02,3,61.6667,0,0,0,0,0,2,0,1,0
1296,2020-03-03,3,61.6667,0,0,0,0,0,2,0,1,0
1440,2020-03-04,4,63.75,0,0,0,0,1,2,0,1,0
1584,2020-03-05,5,56.0,0,0,0,0,0,3,0,2,0
1728,2020-03-06,6,62.5,0,0,0,0,0,2,1,3,0
1872,2020-03-07,8,70.5,0,0,0,0,2,2,1,3,0
2016,2020-03-08,8,70.5,0,0,0,0,2,2,1,3,0
2160,2020-03-09,8,70.5,0,0,0,0,1,3,1,3,0
2304,2020-03-10,10,64.7,0,0,0,0,2,3,1,4,0
2448,2020-03-11,13,65.0769,0,0,0,0,3,5,1,4,0
2592,2020-03-12,21,61.2857,0,0,0,0,6,5,1,8,1
2736,2020-03-13,29,58.0345,0,0,0,0,9,7,1,11,1
2880,2020-03-14,39,55.6667,0,0,0,0,7,11,1,19,1
3024,2020-03-15,48,52.5208,0,0,0,0,10,14,0,23,1
3168,2020-03-16,67,48.1194,0,0,0,0,10,14,0,42,1
3312,2020-03-17,96,48.25,0,0,0,0,16,14,1,64,1
3456,2020-03-18,124,47.7258,0,0,0,0,22,18,2,81,1
3600,2020-03-19,146,47.1712,0,0,0,0,17,24,2,100,3
3744,2020-03-20,182,47.1374,0,0,0,0,26,32,2,118,4
3888,2020-03-21,214,46.1776,0,0,0,0,21,44,2,143,4
4032,2020-03-22,228,46.1447,0,0,0,0,19,50,4,151,4
